"","KO","names","Pathway"
"490","K00696","sucrose-phosphate synthase [EC:2.4.1.14]","Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism"
"491","K00697","trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]","Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"492","K00698","chitin synthase [EC:2.4.1.16]","Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"493","K00699","glucuronosyltransferase [EC:2.4.1.17]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism | Metabolism; Lipid metabolism; Steroid hormone biosynthesis | Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism | Metabolism; Metabolism of cofactors and vitamins; Porphyrin and chlorophyll metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - cytochrome P450 | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes | Human Diseases; Cancers: Overview; Chemical carcinogenesis | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"494","K00700","1,4-alpha-glucan branching enzyme [EC:2.4.1.18]","Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"495","K00701","cyclomaltodextrin glucanotransferase [EC:2.4.1.19]","Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism"
"496","K00702","cellobiose phosphorylase [EC:2.4.1.20]","Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism"
"497","K00703","starch synthase [EC:2.4.1.21]","Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism | Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Escherichia coli | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"498","K00705","4-alpha-glucanotransferase [EC:2.4.1.25]","Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism"
"499","K00709","histo-blood group ABO system transferase [EC:2.4.1.40 2.4.1.37]","Metabolism; Glycan biosynthesis and metabolism; Glycosphingolipid biosynthesis - lacto and neolacto series | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"500","K00712","poly(glycerol-phosphate) alpha-glucosyltransferase [EC:2.4.1.52]","Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"501","K00713","UDP-glucose:(glucosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.-]","Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins"
"502","K00717","glycoprotein 6-alpha-L-fucosyltransferase [EC:2.4.1.68]","Metabolism; Glycan biosynthesis and metabolism; N-Glycan biosynthesis | Metabolism; Glycan biosynthesis and metabolism; Various types of N-glycan biosynthesis | Metabolism; Glycan biosynthesis and metabolism; Glycosaminoglycan biosynthesis - keratan sulfate | Human Diseases; Cancers: Overview; Transcriptional misregulation in cancer | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"503","K00718","galactoside 2-L-fucosyltransferase 1/2 [EC:2.4.1.69]","Metabolism; Glycan biosynthesis and metabolism; Glycosphingolipid biosynthesis - lacto and neolacto series | Metabolism; Glycan biosynthesis and metabolism; Glycosphingolipid biosynthesis - globo and isoglobo series | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking"
"504","K00720","ceramide glucosyltransferase [EC:2.4.1.80]","Metabolism; Lipid metabolism; Sphingolipid metabolism | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"505","K00721","dolichol-phosphate mannosyltransferase [EC:2.4.1.83]","Metabolism; Glycan biosynthesis and metabolism; N-Glycan biosynthesis | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"506","K00727","beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase [EC:2.4.1.102]","Metabolism; Glycan biosynthesis and metabolism; Mucin type O-glycan biosynthesis | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"507","K00728","dolichyl-phosphate-mannose-protein mannosyltransferase [EC:2.4.1.109]","Metabolism; Glycan biosynthesis and metabolism; Mannose type O-glycan biosynthesis | Metabolism; Glycan biosynthesis and metabolism; Other types of O-glycan biosynthesis | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"508","K00729","dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]","Metabolism; Glycan biosynthesis and metabolism; N-Glycan biosynthesis | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"509","K00737","beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.144]","Metabolism; Glycan biosynthesis and metabolism; N-Glycan biosynthesis | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"510","K00743","N-acetyllactosaminide 3-alpha-galactosyltransferase [EC:2.4.1.87]","Metabolism; Glycan biosynthesis and metabolism; Glycosphingolipid biosynthesis - lacto and neolacto series | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"511","K00745","raffinose-raffinose alpha-galactotransferase [EC:2.4.1.166]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"512","K00748","lipid-A-disaccharide synthase [EC:2.4.1.182]","Metabolism; Glycan biosynthesis and metabolism; Lipopolysaccharide biosynthesis | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins"
"513","K00750","glycogenin [EC:2.4.1.186]","Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"514","K00752","hyaluronan synthase [EC:2.4.1.212]","Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"515","K00754","L-malate glycosyltransferase [EC:2.4.1.-]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"516","K00756","pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]","Metabolism; Nucleotide metabolism; Pyrimidine metabolism"
"517","K00757","uridine phosphorylase [EC:2.4.2.3]","Metabolism; Nucleotide metabolism; Pyrimidine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes"
"518","K00758","thymidine phosphorylase [EC:2.4.2.4]","Metabolism; Nucleotide metabolism; Pyrimidine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes | Human Diseases; Cancers: Specific types; Bladder cancer"
"519","K00759","adenine phosphoribosyltransferase [EC:2.4.2.7]","Metabolism; Nucleotide metabolism; Purine metabolism | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"520","K00760","hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]","Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes"
"521","K00761","uracil phosphoribosyltransferase [EC:2.4.2.9]","Metabolism; Nucleotide metabolism; Pyrimidine metabolism"
"522","K00762","orotate phosphoribosyltransferase [EC:2.4.2.10]","Metabolism; Nucleotide metabolism; Pyrimidine metabolism"
"523","K00763","nicotinate phosphoribosyltransferase [EC:6.3.4.21]","Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism"
"524","K00764","amidophosphoribosyltransferase [EC:2.4.2.14]","Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism | Brite Hierarchies; Protein families: metabolism; Peptidases"
"525","K00765","ATP phosphoribosyltransferase [EC:2.4.2.17]","Metabolism; Amino acid metabolism; Histidine metabolism"
"526","K00766","anthranilate phosphoribosyltransferase [EC:2.4.2.18]","Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis"
"527","K00767","nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]","Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism"
"528","K00768","nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21]","Metabolism; Metabolism of cofactors and vitamins; Porphyrin and chlorophyll metabolism"
"529","K00769","xanthine phosphoribosyltransferase [EC:2.4.2.22]","Metabolism; Nucleotide metabolism; Purine metabolism"
"530","K00771","protein xylosyltransferase [EC:2.4.2.26]","Metabolism; Glycan biosynthesis and metabolism; Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate | Metabolism; Glycan biosynthesis and metabolism; Glycosaminoglycan biosynthesis - heparan sulfate / heparin | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"531","K00772","5'-methylthioadenosine phosphorylase [EC:2.4.2.28]","Metabolism; Amino acid metabolism; Cysteine and methionine metabolism"
"532","K00773","queuine tRNA-ribosyltransferase [EC:2.4.2.29]","Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis"
"533","K00782","L-lactate dehydrogenase complex protein LldG","Not Included in Pathway or Brite; Unclassified: metabolism; Carbohydrate metabolism"
"534","K00783","23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]","Brite Hierarchies; Protein families: genetic information processing; Ribosome biogenesis"
"535","K00784","ribonuclease Z [EC:3.1.26.11]","Genetic Information Processing; Translation; RNA transport | Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis"
"536","K00786","glycosyltransferase [EC:2.4.-.-]","Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins"
"537","K00788","thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]","Metabolism; Metabolism of cofactors and vitamins; Thiamine metabolism"
"538","K00789","S-adenosylmethionine synthetase [EC:2.5.1.6]","Metabolism; Amino acid metabolism; Cysteine and methionine metabolism"
"539","K00790","UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]","Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins"
"540","K00791","tRNA dimethylallyltransferase [EC:2.5.1.75]","Metabolism; Metabolism of terpenoids and polyketides; Zeatin biosynthesis | Brite Hierarchies; Protein families: metabolism; Prenyltransferases | Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis"
"541","K00793","riboflavin synthase [EC:2.5.1.9]","Metabolism; Metabolism of cofactors and vitamins; Riboflavin metabolism"
"542","K00794","6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]","Metabolism; Metabolism of cofactors and vitamins; Riboflavin metabolism"
"543","K00795","farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]","Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis | Brite Hierarchies; Protein families: metabolism; Prenyltransferases"
"544","K00796","dihydropteroate synthase [EC:2.5.1.15]","Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis"
"545","K00797","spermidine synthase [EC:2.5.1.16]","Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Metabolism; Amino acid metabolism; Arginine and proline metabolism | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism | Metabolism; Metabolism of other amino acids; Glutathione metabolism"
"546","K00798","cob(I)alamin adenosyltransferase [EC:2.5.1.17]","Metabolism; Metabolism of cofactors and vitamins; Porphyrin and chlorophyll metabolism"
"547","K00799","glutathione S-transferase [EC:2.5.1.18]","Metabolism; Metabolism of other amino acids; Glutathione metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - cytochrome P450 | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes | Human Diseases; Cancers: Overview; Pathways in cancer | Human Diseases; Cancers: Overview; Chemical carcinogenesis | Human Diseases; Cancers: Specific types; Hepatocellular carcinoma | Human Diseases; Cardiovascular diseases; Fluid shear stress and atherosclerosis | Human Diseases; Drug resistance: Antineoplastic; Platinum drug resistance | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"548","K00800","3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]","Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis"
"549","K00801","farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]","Metabolism; Lipid metabolism; Steroid biosynthesis | Metabolism; Metabolism of terpenoids and polyketides; Sesquiterpenoid and triterpenoid biosynthesis | Brite Hierarchies; Protein families: metabolism; Prenyltransferases"
"550","K00803","alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]","Metabolism; Lipid metabolism; Ether lipid metabolism | Cellular Processes; Transport and catabolism; Peroxisome"
"551","K00805","heptaprenyl diphosphate synthase [EC:2.5.1.30]","Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis | Brite Hierarchies; Protein families: metabolism; Prenyltransferases"
"552","K00806","undecaprenyl diphosphate synthase [EC:2.5.1.31]","Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis | Brite Hierarchies; Protein families: metabolism; Prenyltransferases"
"553","K00808","homospermidine synthase [EC:2.5.1.44]","Metabolism; Biosynthesis of other secondary metabolites; Tropane, piperidine and pyridine alkaloid biosynthesis"
"554","K00809","deoxyhypusine synthase [EC:2.5.1.46]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"555","K00812","aspartate aminotransferase [EC:2.6.1.1]","Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Metabolism; Amino acid metabolism; Arginine biosynthesis | Metabolism; Amino acid metabolism; Arginine and proline metabolism | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Amino acid metabolism; Phenylalanine metabolism | Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Isoquinoline alkaloid biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Tropane, piperidine and pyridine alkaloid biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Novobiocin biosynthesis | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"556","K00813","aspartate aminotransferase [EC:2.6.1.1]","Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Metabolism; Amino acid metabolism; Arginine biosynthesis | Metabolism; Amino acid metabolism; Arginine and proline metabolism | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Amino acid metabolism; Phenylalanine metabolism | Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Isoquinoline alkaloid biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Tropane, piperidine and pyridine alkaloid biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Novobiocin biosynthesis | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"557","K00814","alanine transaminase [EC:2.6.1.2]","Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms | Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism | Metabolism; Amino acid metabolism; Arginine biosynthesis | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"558","K00815","tyrosine aminotransferase [EC:2.6.1.5]","Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Amino acid metabolism; Phenylalanine metabolism | Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis | Metabolism; Metabolism of cofactors and vitamins; Ubiquinone and other terpenoid-quinone biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Isoquinoline alkaloid biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Tropane, piperidine and pyridine alkaloid biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Novobiocin biosynthesis | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"559","K00817","histidinol-phosphate aminotransferase [EC:2.6.1.9]","Metabolism; Amino acid metabolism; Histidine metabolism | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Amino acid metabolism; Phenylalanine metabolism | Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Tropane, piperidine and pyridine alkaloid biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Novobiocin biosynthesis | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"560","K00818","acetylornithine aminotransferase [EC:2.6.1.11]","Metabolism; Amino acid metabolism; Arginine biosynthesis | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"561","K00819","ornithine--oxo-acid transaminase [EC:2.6.1.13]","Metabolism; Amino acid metabolism; Arginine and proline metabolism | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"562","K00820","glucosamine---fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]","Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism | Human Diseases; Endocrine and metabolic diseases; Insulin resistance | Brite Hierarchies; Protein families: metabolism; Peptidases"
"563","K00821","acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]","Metabolism; Amino acid metabolism; Lysine biosynthesis | Metabolism; Amino acid metabolism; Arginine biosynthesis | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"564","K00822","beta-alanine--pyruvate transaminase [EC:2.6.1.18]","Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"565","K00823","4-aminobutyrate aminotransferase [EC:2.6.1.19]","Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"566","K00824","D-alanine transaminase [EC:2.6.1.21]","Metabolism; Amino acid metabolism; Lysine degradation | Metabolism; Amino acid metabolism; Arginine and proline metabolism | Metabolism; Amino acid metabolism; Phenylalanine metabolism | Metabolism; Metabolism of other amino acids; D-Arginine and D-ornithine metabolism | Metabolism; Metabolism of other amino acids; D-Alanine metabolism | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"567","K00825","kynurenine/2-aminoadipate aminotransferase [EC:2.6.1.7 2.6.1.39]","Metabolism; Amino acid metabolism; Lysine biosynthesis | Metabolism; Amino acid metabolism; Lysine degradation | Metabolism; Amino acid metabolism; Tryptophan metabolism | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"568","K00826","branched-chain amino acid aminotransferase [EC:2.6.1.42]","Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine biosynthesis | Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"569","K00827","alanine-glyoxylate transaminase / (R)-3-amino-2-methylpropionate-pyruvate transaminase [EC:2.6.1.44 2.6.1.40]","Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"570","K00830","alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Cellular Processes; Transport and catabolism; Peroxisome | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"571","K00831","phosphoserine aminotransferase [EC:2.6.1.52]","Metabolism; Energy metabolism; Methane metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Metabolism; Metabolism of cofactors and vitamins; Vitamin B6 metabolism | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"572","K00832","aromatic-amino-acid transaminase [EC:2.6.1.57]","Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Amino acid metabolism; Phenylalanine metabolism | Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Isoquinoline alkaloid biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Tropane, piperidine and pyridine alkaloid biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Novobiocin biosynthesis | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"573","K00833","adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]","Metabolism; Metabolism of cofactors and vitamins; Biotin metabolism | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"574","K00835","valine--pyruvate aminotransferase [EC:2.6.1.66]","Metabolism; Amino acid metabolism; Valine, leucine and isoleucine biosynthesis | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"575","K00836","diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]","Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"576","K00838","aromatic amino acid aminotransferase I / 2-aminoadipate transaminase [EC:2.6.1.57 2.6.1.39 2.6.1.27 2.6.1.5]","Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Metabolism; Amino acid metabolism; Lysine biosynthesis | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Amino acid metabolism; Phenylalanine metabolism | Metabolism; Amino acid metabolism; Tryptophan metabolism | Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis | Metabolism; Metabolism of cofactors and vitamins; Ubiquinone and other terpenoid-quinone biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Isoquinoline alkaloid biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Tropane, piperidine and pyridine alkaloid biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Novobiocin biosynthesis | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"577","K00839","(S)-ureidoglycine---glyoxylate transaminase [EC:2.6.1.112]","Metabolism; Nucleotide metabolism; Purine metabolism | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"578","K00840","succinylornithine aminotransferase [EC:2.6.1.81]","Metabolism; Amino acid metabolism; Arginine and proline metabolism | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"579","K00841","aminotransferase [EC:2.6.1.-]","Metabolism; Amino acid metabolism; Lysine biosynthesis | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"580","K00844","hexokinase [EC:2.7.1.1]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Galactose metabolism | Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism | Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Metabolism; Biosynthesis of other secondary metabolites; Streptomycin biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Neomycin, kanamycin and gentamicin biosynthesis | Environmental Information Processing; Signal transduction; HIF-1 signaling pathway | Organismal Systems; Endocrine system; Insulin signaling pathway | Organismal Systems; Digestive system; Carbohydrate digestion and absorption | Human Diseases; Cancers: Overview; Central carbon metabolism in cancer | Human Diseases; Endocrine and metabolic diseases; Type II diabetes mellitus | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking"
"581","K00845","glucokinase [EC:2.7.1.2]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Galactose metabolism | Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism | Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Metabolism; Biosynthesis of other secondary metabolites; Streptomycin biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Neomycin, kanamycin and gentamicin biosynthesis"
"582","K00846","ketohexokinase [EC:2.7.1.3]","Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"583","K00847","fructokinase [EC:2.7.1.4]","Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism | Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism"
"584","K00848","rhamnulokinase [EC:2.7.1.5]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism"
"585","K00849","galactokinase [EC:2.7.1.6]","Metabolism; Carbohydrate metabolism; Galactose metabolism | Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"586","K00850","6-phosphofructokinase 1 [EC:2.7.1.11]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Galactose metabolism | Metabolism; Energy metabolism; Methane metabolism | Genetic Information Processing; Folding, sorting and degradation; RNA degradation | Environmental Information Processing; Signal transduction; AMPK signaling pathway | Human Diseases; Cancers: Overview; Central carbon metabolism in cancer | Brite Hierarchies; Protein families: metabolism; Protein phosphatases and associated proteins | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis"
"587","K00851","gluconokinase [EC:2.7.1.12]","Metabolism; Carbohydrate metabolism; Pentose phosphate pathway"
"588","K00852","ribokinase [EC:2.7.1.15]","Metabolism; Carbohydrate metabolism; Pentose phosphate pathway"
"589","K00853","L-ribulokinase [EC:2.7.1.16]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions"
"590","K00854","xylulokinase [EC:2.7.1.17]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions"
"591","K00855","phosphoribulokinase [EC:2.7.1.19]","Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms"
"592","K00856","adenosine kinase [EC:2.7.1.20]","Metabolism; Nucleotide metabolism; Purine metabolism"
"593","K00857","thymidine kinase [EC:2.7.1.21]","Metabolism; Nucleotide metabolism; Pyrimidine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes"
"594","K00858","NAD+ kinase [EC:2.7.1.23]","Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism"
