"","Short_label","Observed","Shannon","InvSimpson","Longer_name","Sample_type","Num_larvae","Date_collected","Exp_day","Mesocosm_id","Mesocosm_treatment","Microbe_treatment","Food_type","Mesocosm_type","Treatment_notes","Notes","Raw_reads","lib_size_clean","is.neg","even"
"121","WB8",22,2.07455140841792,5.50859898343763,"W_D5_B_MMO.2","Water",NA,"6/27/23",5,"B_MMO.2","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",150363,108043,FALSE,0.671149438974539
"122","WB9",29,2.37213311824577,6.38562009421704,"W_D5_B_MMO.3","Water",NA,"6/27/23",5,"B_MMO.3","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",149261,91937,FALSE,0.70446234545876
"123","WL1",2,0.0714285057689701,1.02731730618521,"W_D5_L_larvae","Water",NA,"6/27/23",5,"L_larvae","L_larvae","None_larvae","Larval food","Additional control","Larvae & food only","",88708,80507,FALSE,0.103049551051002
"124","WL10",12,1.78897904751018,4.64894538049798,"W_D5_L_MMO+","Water",NA,"6/27/23",5,"L_MMO+","L_MMO+","MMO","Larval food","Additional control","No larvae - mosquito microbes","",213471,116816,FALSE,0.719938130336931
"125","WL11",31,2.42565422973615,7.12170871510599,"W_D5_L_EMO.1","Water",NA,"6/27/23",5,"L_EMO.1","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",156662,111128,FALSE,0.706366705900358
"126","WL12",36,2.79596713946716,12.464787953803,"W_D5_L_EMO.2","Water",NA,"6/27/23",5,"L_EMO.2","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",143158,95779,FALSE,0.780229486012357
"127","WL13",31,2.30682242463774,5.97086867420003,"W_D5_L_EMO.3","Water",NA,"6/27/23",5,"L_EMO.3","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",99916,73979,FALSE,0.67176209090843
"128","WL14",33,2.72825018226038,11.2181373495862,"W_D5_L_EMO.4","Water",NA,"6/27/23",5,"L_EMO.4","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",124777,85675,FALSE,0.78027864499058
"129","WL15",27,2.49828611966106,8.38130538994396,"W_D5_L_EMO.5","Water",NA,"6/27/23",5,"L_EMO.5","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",143576,107597,FALSE,0.758012675150947
"130","WL16",23,1.67050380530908,2.77805754538695,"W_D5_L_EMO+","Water",NA,"6/27/23",5,"L_EMO+","L_EMO+","EMO","Larval food","Additional control","No larvae - environmental microbes","",113153,84854,FALSE,0.532772089587178
"131","WL17",2,0.347384597500885,1.24447594087975,"W_D5_L_ECO.1","Water",NA,"6/27/23",5,"L_ECO.1","L_ECO","ECO","Larval food","Experiment","E. coli only","",148743,130950,FALSE,0.501170036095736
"132","WL18",2,0.314436407768994,1.20816060912571,"W_D5_L_ECO.2","Water",NA,"6/27/23",5,"L_ECO.2","L_ECO","ECO","Larval food","Experiment","E. coli only","",105803,94157,FALSE,0.453635846163268
"133","WL19",2,0.271509257233325,1.16581331660914,"W_D5_L_ECO.3","Water",NA,"6/27/23",5,"L_ECO.3","L_ECO","ECO","Larval food","Experiment","E. coli only","",134358,117077,FALSE,0.391705058965964
"134","WL20",2,0.321708699351936,1.21587600341021,"W_D5_L_ECO.4","Water",NA,"6/27/23",5,"L_ECO.4","L_ECO","ECO","Larval food","Experiment","E. coli only","",112521,97532,FALSE,0.464127545165876
"135","WL21",2,0.359168097036148,1.2583473376287,"W_D5_L_ECO.5","Water",NA,"6/27/23",5,"L_ECO.5","L_ECO","ECO","Larval food","Experiment","E. coli only","",82024,73229,FALSE,0.518170032439577
"136","WL22",1,0,1,"W_D5_L_ECO+","Water",NA,"6/27/23",5,"L_ECO+","L_ECO+","ECO","Larval food","Additional control","No larvae - E. coli","",84065,75581,FALSE,NA
"137","WL23",36,2.7420811802753,11.2577971963792,"W_D5_L_MEM.1","Water",NA,"6/27/23",5,"L_MEM.1","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",77744,54439,FALSE,0.765192322788917
"138","WL24",30,2.48121273420796,7.69656415101861,"W_D5_L_MEM.2","Water",NA,"6/27/23",5,"L_MEM.2","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",119945,86062,FALSE,0.729511538373406
"139","WL25",28,2.48785131204281,7.74821599829122,"W_D5_L_MEM.3","Water",NA,"6/27/23",5,"L_MEM.3","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",171802,121810,FALSE,0.746608230210936
"140","WL26",33,2.55623165888927,8.34530599796803,"W_D5_L_MEM.4","Water",NA,"6/27/23",5,"L_MEM.4","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",130957,92000,FALSE,0.731081404502142
"141","WL27",29,2.34662347294298,6.47515967858169,"W_D5_L_MEM.5","Water",NA,"6/27/23",5,"L_MEM.5","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",161014,113907,FALSE,0.696886638841116
"142","WL28",35,2.69750549310857,11.088602512355,"W_D5_L_MEM+","Water",NA,"6/27/23",5,"L_MEM+","L_MEM+","MEM","Larval food","Additional control","No larvae - mosquito & environmental microbes","",170049,110330,FALSE,0.758717696961159
"143","WL29",22,1.45235166759321,2.27779586529352,"W_D5_L_ALL.1","Water",NA,"6/27/23",5,"L_ALL.1","L_ALL","ALL","Larval food","Experiment","All live microbes","",134586,92979,FALSE,0.469858207872647
"144","WL30",21,1.84584692204862,3.72544103618807,"W_D5_L_ALL.2","Water",NA,"6/27/23",5,"L_ALL.2","L_ALL","ALL","Larval food","Experiment","All live microbes","",122343,90987,FALSE,0.606284551947292
"145","WL31",24,1.61686688840567,2.65839703482658,"W_D5_L_ALL.3","Water",NA,"6/27/23",5,"L_ALL.3","L_ALL","ALL","Larval food","Experiment","All live microbes","",90049,63868,FALSE,0.508760069752704
"146","WL32",26,1.65607538096731,2.87378755425918,"W_D5_L_ALL.4","Water",NA,"6/27/23",5,"L_ALL.4","L_ALL","ALL","Larval food","Experiment","All live microbes","",174386,123683,FALSE,0.508295368673447
"147","WL33",22,1.58735551164371,2.91102904749698,"W_D5_L_ALL.5","Water",NA,"6/27/23",5,"L_ALL.5","L_ALL","ALL","Larval food","Experiment","All live microbes","",147990,106361,FALSE,0.513534037657458
"148","WL34",16,1.29430486980973,2.51932874509589,"W_D5_L_ALL+","Water",NA,"6/27/23",5,"L_ALL+","L_ALL+","ALL","Larval food","Additional control","No larvae - all live microbes","",153574,121264,FALSE,0.466821804268233
"149","WL4",3,0.0985010710250318,1.0387420391378,"W_D5_L_AHK.1","Water",NA,"6/27/23",5,"L_AHK.1","L_AHK","AHK","Larval food","Experiment","All heat-killed microbes","",60375,54982,FALSE,0.0896595387117401
"150","WL5",9,1.58508946059136,4.13061135505923,"W_D5_L_MMO.1","Water",NA,"6/27/23",5,"L_MMO.1","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",128296,97224,FALSE,0.721405302371517
"151","WL6",14,1.76480460971042,4.20699878719096,"W_D5_L_MMO.2","Water",NA,"6/27/23",5,"L_MMO.2","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",92704,65448,FALSE,0.668725377772566
"152","WL7",16,1.66140738423555,3.88353415040553,"W_D5_L_MMO.3","Water",NA,"6/27/23",5,"L_MMO.3","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",137202,98159,FALSE,0.599226048533233
"153","WL8",12,1.74526457814512,5.09563620074091,"W_D5_L_MMO.4","Water",NA,"6/27/23",5,"L_MMO.4","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",117557,83325,FALSE,0.702346133724589
"154","WL9",15,1.56279918041162,3.80058114227139,"W_D5_L_MMO.5","Water",NA,"6/27/23",5,"L_MMO.5","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",77045,51746,FALSE,0.577093873583118
